B0,ConKingdom,Habitat,OriginalTraitName,Rsqu,T0,Tm,aic,aicc,bic,id
0.00012147052424829678,Metazoa,freshwater,Relative Growth Rate,-13.190285761169275,16.3,21.5,-105.95430400980166,-105.55430400980165,-104.49958406043766,262
0.0001367790189094216,Metazoa,freshwater,Relative Growth Rate,-12.101850966290101,16.3,21.5,-91.59799146340795,-91.15354701896351,-90.40430564501284,263
0.0001448910209935229,Metazoa,freshwater,Relative Growth Rate,-22.537816938151078,16.3,21.5,-103.74411385785554,-103.34411385785553,-102.28939390849153,264
0.0001727002020394175,Metazoa,freshwater,Relative Growth Rate,-10.586215340105408,16.3,21.5,-73.30422640595822,-72.73279783452965,-72.71255267394956,265
0.00010394748163396468,Metazoa,freshwater,Relative Growth Rate,-8.784707109088416,16.3,21.5,-103.56162512386778,-103.16162512386778,-102.10690517450378,266
0.000173474506628494,Metazoa,freshwater,Relative Growth Rate,-13.108642893738507,16.3,21.5,-69.2689273549363,-68.69749878350773,-68.67725362292764,267
0.00017627935219536388,Metazoa,freshwater,Relative Growth Rate,-4.611600570515598,16.3,21.5,-64.41413718233932,-63.74747051567265,-64.1758125572998,268
0.00015688569315351218,Metazoa,freshwater,Relative Growth Rate,-8.99957838449074,16.3,21.5,-109.21722656593128,-108.85359020229492,-107.52237849354667,269
0.00012121345920418766,Metazoa,freshwater,Relative Growth Rate,-2.3302381487429784,16.3,21.5,-90.15978658969269,-89.65978658969269,-89.25203131071055,270
0.00015344585436530048,Metazoa,freshwater,Relative Growth Rate,-5.883205197942408,16.3,21.5,-92.26409076581251,-91.81964632136807,-91.0704049474174,271
0.00012003076985300645,Metazoa,freshwater,Relative Growth Rate,-14.360019357137482,16.3,21.5,-64.31966966990348,-63.65300300323681,-64.08134504486397,272
0.00012084912130199543,Metazoa,freshwater,Relative Growth Rate,-12.046444987202827,16.3,21.5,-64.87393241932149,-64.20726575265482,-64.63560779428198,273
1.0,Metazoa,freshwater,Relative Growth Rate,-4.864056184820512,16.3,21.5,-61.680301888427636,-61.01363522176097,-61.441977263388125,274
0.00011784771931408685,Metazoa,freshwater,Relative Growth Rate,-10.390784110992746,16.3,21.5,-77.39250054094023,-76.82107196951166,-76.80082680893157,275
0.00015117702369044303,Metazoa,freshwater,Relative Growth Rate,-7.721721338443064,16.3,21.5,-85.95641742983108,-85.45641742983108,-85.04866215084894,276
0.00011607719872413638,Metazoa,freshwater,Relative Growth Rate,-6.41471354505569,16.3,21.5,-83.8776824845301,-83.3776824845301,-82.96992720554796,277
0.00015464614262972456,Metazoa,freshwater,Relative Growth Rate,-12.54697374866525,16.3,21.5,-83.14482473656614,-82.64482473656614,-82.237069457584,278
0.00017115472800350673,Metazoa,freshwater,Relative Growth Rate,-8.028567274202604,16.3,21.5,-92.59342939210285,-92.1489849476584,-91.39974357370774,279
0.00010616353218911514,Metazoa,freshwater,Relative Growth Rate,-5.438069931293067,16.3,21.5,-97.4674944025271,-97.02304995808265,-96.27380858413198,280
0.00010992814886143667,Metazoa,freshwater,Relative Growth Rate,-11.42306552418309,16.3,21.5,-79.87776625667946,-79.3063376852509,-79.2860925246708,281
0.00013061788930584468,Metazoa,freshwater,Relative Growth Rate,-18.818759014565327,16.3,21.5,-114.21034256085454,-113.84670619721818,-112.51549448846993,282
0.0001813202189846234,Metazoa,freshwater,Relative Growth Rate,-3.220030905142754,16.3,21.5,-66.00430291794086,-65.33763625127419,-65.76597829290135,283
0.0001326000716588124,Metazoa,freshwater,Relative Growth Rate,-5.540423894825625,16.3,21.5,-92.44241034141109,-91.99796589696665,-91.24872452301598,284
0.00014584823752463732,Metazoa,freshwater,Relative Growth Rate,-8.998263855700138,16.3,21.5,-67.58935667477976,-66.9226900081131,-67.35103204974025,285
0.00014259231675693652,Metazoa,freshwater,Relative Growth Rate,-6.045754230290828,16.3,21.5,-74.60562115733471,-74.03419258590614,-74.01394742532605,286
0.00013900687365282346,Metazoa,freshwater,Relative Growth Rate,-10.353837115161776,16.3,21.5,-67.59199876890061,-66.92533210223394,-67.3536741438611,287
0.00012442053181160124,Metazoa,freshwater,Relative Growth Rate,-8.583350760312824,16.3,21.5,-94.98849408957356,-94.54404964512912,-93.79480827117845,288
0.00014486688511983415,Metazoa,freshwater,Relative Growth Rate,-6.223532883416836,16.3,21.5,-82.66576769676954,-82.16576769676954,-81.7580124177874,289
0.00015845129404718422,Metazoa,freshwater,Relative Growth Rate,-8.761418207017018,16.3,21.5,-80.14121836781045,-79.64121836781045,-79.23346308882832,290
0.00013311176596814722,Metazoa,freshwater,Relative Growth Rate,-8.50261707324493,16.3,21.5,-115.64335367983067,-115.27971731619431,-113.94850560744605,291
0.00014908071271653328,Metazoa,freshwater,Relative Growth Rate,-5.411372524497648,16.3,21.5,-67.5113657130091,-66.84469904634243,-67.27304108796959,292
0.00016947725012539315,Metazoa,freshwater,Relative Growth Rate,-7.197448298890203,16.3,21.5,-114.27585853633069,-113.94252520299736,-112.35868654748491,293
